"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"03/09/2015 20:00","NORTH",61755,31.30,-0.97,0.00
"03/09/2015 20:00","NPX",61845,75.89,2.65,-40.98
"03/09/2015 20:00","O H",61846,35.00,-3.13,-5.87
"03/09/2015 20:00","PJM",61847,55.76,0.58,-22.92
"03/09/2015 20:00","WEST",61752,36.28,-2.39,-6.41
"03/09/2015 21:00","CAPITL",61757,63.53,2.21,-29.72
"03/09/2015 21:00","CENTRL",61754,35.30,-0.19,-3.89
"03/09/2015 21:00","DUNWOD",61760,57.41,3.13,-22.68
"03/09/2015 21:00","GENESE",61753,33.46,-1.30,-3.16
"03/09/2015 21:00","H Q",61844,30.84,-0.76,0.00
"03/09/2015 21:00","HUD VL",61758,56.72,3.00,-22.11
"03/09/2015 21:00","LONGIL",61762,58.40,4.11,-22.69
"03/09/2015 21:00","MHK VL",61756,36.39,1.01,-3.78
"03/09/2015 21:00","MILLWD",61759,57.63,3.26,-22.77
"03/09/2015 21:00","N.Y.C.",61761,57.51,3.22,-22.69
"03/09/2015 21:00","NORTH",61755,30.81,-0.79,0.00
"03/09/2015 21:00","NPX",61845,60.78,2.62,-26.56
"03/09/2015 21:00","O H",61846,33.05,-2.81,-4.26
"03/09/2015 21:00","PJM",61847,47.05,0.60,-14.85
"03/09/2015 21:00","WEST",61752,33.60,-2.15,-4.15
"03/09/2015 22:00","CAPITL",61757,52.31,1.96,-21.87
"03/09/2015 22:00","CENTRL",61754,31.23,-0.11,-2.86
"03/09/2015 22:00","DUNWOD",61760,47.85,2.68,-16.69
"03/09/2015 22:00","GENESE",61753,29.93,-0.88,-2.33
"03/09/2015 22:00","H Q",61844,27.74,-0.74,0.00
"03/09/2015 22:00","HUD VL",61758,47.34,2.59,-16.27
"03/09/2015 22:00","LONGIL",61762,48.45,3.27,-16.70
"03/09/2015 22:00","MHK VL",61756,32.20,0.94,-2.78
"03/09/2015 22:00","MILLWD",61759,48.00,2.76,-16.75
"03/09/2015 22:00","N.Y.C.",61761,47.88,2.71,-16.69
"03/09/2015 22:00","NORTH",61755,27.66,-0.83,0.00
"03/09/2015 22:00","NPX",61845,51.73,2.34,-20.91
"03/09/2015 22:00","O H",61846,29.54,-2.08,-3.14
"03/09/2015 22:00","PJM",61847,40.01,0.60,-10.93
"03/09/2015 22:00","WEST",61752,30.00,-1.54,-3.06
"03/09/2015 23:00","CAPITL",61757,45.41,1.72,-17.18
"03/09/2015 23:00","CENTRL",61754,28.73,-0.03,-2.25
"03/09/2015 23:00","DUNWOD",61760,41.90,2.28,-13.11
"03/09/2015 23:00","GENESE",61753,27.70,-0.64,-1.83
"03/09/2015 23:00","H Q",61844,25.82,-0.69,0.00
"03/09/2015 23:00","HUD VL",61758,41.57,2.28,-12.78
"03/09/2015 23:00","LONGIL",61762,42.17,2.55,-13.12
"03/09/2015 23:00","MHK VL",61756,29.63,0.93,-2.19
"03/09/2015 23:00","MILLWD",61759,42.03,2.36,-13.16
"03/09/2015 23:00","N.Y.C.",61761,41.85,2.23,-13.11
"03/09/2015 23:00","NORTH",61755,25.77,-0.74,0.00
"03/09/2015 23:00","NPX",61845,43.90,2.04,-15.35
"03/09/2015 23:00","O H",61846,27.52,-1.46,-2.46
"03/09/2015 23:00","PJM",61847,35.76,0.66,-8.58
"03/09/2015 23:00","WEST",61752,27.98,-0.93,-2.40
